127.0.0.1 - - [02/May/2023:17:27:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:46 +0900] "GET /alcohol/ HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:46 +0900] "GET /alcohol/resources/startbootstrap-agency-gh-pages/js/scripts.js HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:46 +0900] "GET /alcohol/resources/startbootstrap-agency-gh-pages/css/styles.css?ver=1 HTTP/1.1" 200 262455
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:47 +0900] "GET /alcohol/resources/startbootstrap-agency-gh-pages/webapp/resources/startbootstrap-agency-gh-pages/assets/img/alcohol.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:47 +0900] "GET /alcohol/resources/startbootstrap-agency-gh-pages/assets/logo.jfif HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:53 +0900] "GET /alcohol/main.do HTTP/1.1" 200 5082
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:53 +0900] "GET /alcohol/resources/js/main_js/main.js HTTP/1.1" 200 7818
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:53 +0900] "GET /alcohol/resources/js/register/mainjs.js HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:53 +0900] "GET /alcohol/resources/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 97627
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:53 +0900] "GET /alcohol/resources/css/main_css/main.css HTTP/1.1" 200 53049
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:54 +0900] "GET /alcohol/resources/upload/main_img.jpg HTTP/1.1" 200 5001582
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:54 +0900] "GET /alcohol/resources/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47 HTTP/1.1" 200 121296
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:54 +0900] "GET /alcohol/main.do HTTP/1.1" 200 5082
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:57 +0900] "GET /alcohol/main.do HTTP/1.1" 200 5082
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:57 +0900] "GET /alcohol/main.do HTTP/1.1" 200 5082
0:0:0:0:0:0:0:1 - - [02/May/2023:17:27:59 +0900] "GET /alcohol/main.do HTTP/1.1" 200 5082
0:0:0:0:0:0:0:1 - - [02/May/2023:17:28:01 +0900] "GET /alcohol/fullview.do HTTP/1.1" 200 141235
0:0:0:0:0:0:0:1 - - [02/May/2023:17:28:01 +0900] "GET /alcohol/resources/css/fullview_css/main.css HTTP/1.1" 200 53049
0:0:0:0:0:0:0:1 - - [02/May/2023:17:28:01 +0900] "GET /alcohol/resources/css/fullview.css?ver=1 HTTP/1.1" 200 7309
0:0:0:0:0:0:0:1 - - [02/May/2023:17:28:01 +0900] "GET /alcohol/resources/alcohol_image/%EA%B3%B5%EC%A3%BC%EC%95%A0_%EC%98%A4%EB%94%94%EC%99%80%EC%9D%B8_thumb.jpg HTTP/1.1" 200 13971
0:0:0:0:0:0:0:1 - - [02/May/2023:17:28:01 +0900] "GET /alcohol/resources/alcohol_image/%EA%B3%B5%EC%A3%BC%EC%95%8C%EB%B0%A4_%EC%99%95%EB%B0%A4%EC%A3%BC_thumb.jpg HTTP/1.1" 200 59736
